provincia,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida,num_hosp,num_uci,num_def,tmed,prec,tmin,tmax,wd,ws,ws_max,sol,mob_grocery_pharmacy,mob_parks,mob_residential,mob_retail_recreation,mob_transit_stations,mob_workplaces,mob_flujo
Asturias,2020-01-16,0,0,0,0,0,0,0,0,0,14.4,5.7,8.4,20.3,28,3.9,17.5,3.1,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-16,0,0,0,0,0,0,0,0,0,12.9,0.15,7.1,18.7,99,2.2,6.1,9.1,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-17,0,0,0,0,0,0,0,0,0,13,0,6.9,19,30,3.6,12.8,5.7,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-17,1,1,0,0,0,0,2,0,0,8.7,0.2,3.9,13.5,23,3.3,14.4,3.6,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-17,0,0,0,0,0,0,0,0,0,13.9,0,6,21.8,29,5,10.3,6.3,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-17,0,0,0,0,0,0,0,0,0,9.4,0.4,6,12.8,27,4.2,16.9,4.4,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-17,0,0,0,0,0,0,0,0,0,13.7,0.3,9.1,18.3,99,1.7,4.2,4.7,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-18,0,0,0,0,0,0,0,0,0,11,0.2,7.2,14.7,99,5.6,9.7,3.8,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-18,2,2,0,0,0,0,3,0,0,6.2,1.4,3.2,9.1,30,1.9,8.9,0,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-18,0,0,0,0,0,0,0,0,0,12.2,0.5,8.2,16.1,30,1.9,8.9,0,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-18,0,0,0,0,0,0,0,0,0,9,12.2,6.2,11.7,29,3.1,16.9,1.7,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-18,0,0,0,0,0,0,0,0,0,12.1,5.7,8.3,15.9,99,2.8,9.7,0,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-19,0,0,0,0,0,0,0,0,0,10.9,0,9.3,12.5,99,12.5,22.8,0,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-19,0,0,0,0,0,0,0,0,0,7.3,0.7,3,11.6,3,7.2,18.9,2.3,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-19,0,0,0,0,0,0,0,0,0,13.7,0,10.5,16.9,30,6.9,15.3,4.9,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-19,0,0,0,0,0,0,0,0,0,8.6,0.2,6.7,10.5,8,5.8,16.9,3.8,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-19,0,0,0,0,0,0,1,0,0,12.2,0,7.9,16.6,4,4.4,20.6,6.2,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-20,0,0,0,0,0,0,4,0,0,9.4,54.1,7.3,11.4,7,16.7,24.7,0.5,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-20,3,3,0,0,0,0,1,0,0,4.2,0,2,6.5,5,4.4,13.9,0,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-20,0,0,0,0,0,0,0,0,0,9.3,0.1,7.4,11.2,99,6.9,12.5,0,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-20,0,0,0,0,0,0,1,0,0,7.2,2,5.4,8.9,8,6.4,18.1,2.1,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-20,0,0,0,0,0,0,0,0,0,9.8,0,6.1,13.4,7,6.7,17.5,4.7,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-21,0,0,0,0,0,0,2,0,0,10.2,87.9,7.6,12.8,18,18.9,29.2,0,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-21,0,0,0,0,0,0,3,0,0,6.2,1.6,4.5,7.9,1,4.7,15,0,NA,NA,NA,NA,NA,NA,NA
